Time,Position_X,Position_Y,Position_Z
4.9439e-05,5.5618875e-05,4.44951e-05,2.5
0.15346785,0.17263608,0.13807228,2.5
0.273438891,0.30753252,0.24581912,2.5
0.374209191,0.42076433,0.33608133,2.5
0.470378832,0.52873725,0.42193735,2.5
0.56650185,0.63654786,0.5074009,2.5
0.665293217,0.7472132,0.5947965,2.5
0.767067161,0.86104774,0.68428355,2.5
0.86590972,0.9714117,0.7705833,2.5
0.967768351,1.0849197,0.85880685,2.5
1.06727909,1.1955669,0.9442229,2.5
1.171254623,1.3108934,1.0325713,2.5
1.267513489,1.4173772,1.1134691,2.5
1.365451022,1.5254147,1.1948245,2.5
1.503940531,1.677619,1.3080893,2.5
1.613586211,1.7976124,1.3961718,2.5
1.718518795,1.9119933,1.4790552,2.5
1.831285623,2.034385,1.5664904,2.5
1.93780147,2.1494582,1.6474342,2.5
2.038786111,2.2580495,1.7226226,2.5
2.136368438,2.3624902,1.7937766,2.5
2.236701678,2.4693472,1.8653333,2.5
2.425226905,2.668599,1.9951663,2.5
2.528350252,2.776697,2.0635116,2.5
2.627035994,2.8795214,2.127067,2.5
2.733597071,2.9898422,2.1935995,2.5
2.837787099,3.09697,2.2564847,2.5
2.937523119,3.19881,2.3146174,2.5
3.050655982,3.3134618,2.3780477,2.5
3.165244316,3.4286156,2.4395018,2.5
3.26632393,3.5293543,2.4913204,2.5
3.364788884,3.626707,2.5395963,2.5
3.47278135,3.7325695,2.5899944,2.5
3.589063013,3.8454616,2.6412199,2.5
3.69357301,3.9459279,2.684519,2.5
3.814938443,4.0613794,2.7314878,2.5
3.926299608,4.1661305,2.7714005,2.5
4.022339103,4.255537,2.8033397,2.5
4.131907869,4.3564587,2.836935,2.5
4.249432084,4.4633994,2.869562,2.5
4.367745805,4.5696573,2.8988051,2.5
4.47241232,4.66246,2.921632,2.5
4.58534033,4.761298,2.94303,2.5
4.704858713,4.864415,2.9619973,2.5
4.822206104,4.964139,2.9769156,2.5
4.944006452,5.06602,2.9884982,2.5
5.048179347,5.1518154,2.9952395,2.5
5.159604466,5.242192,2.9992123,2.5
5.281092624,5.33906,2.9997253,2.5
5.453455391,5.4734435,2.9936178,2.5
5.547071962,5.544904,2.986945,2.5
5.638816244,5.613876,2.9781199,2.5
5.756445972,5.7007494,2.9635057,2.5
5.856614104,5.7733297,2.948151,2.5
5.952295217,5.841441,2.930998,2.5
6.04868535,5.908841,2.9112763,2.5
6.150271919,5.9785376,2.887857,2.5
6.262686191,6.054044,2.8588166,2.5
6.375271791,6.1279397,2.8264735,2.5
6.487773235,6.200035,2.7909338,2.5
6.594256069,6.266647,2.7543664,2.5
6.697333562,6.329606,2.7162914,2.5
6.812693677,6.398273,2.6706007,2.5
6.913252677,6.456567,2.628161,2.5
7.022627423,6.518303,2.5792873,2.5
